artist,style,movement,tags,url,img,file_name,genre_list,Artwork,Date
Eugene Boudin,Impressionism,Impressionism,"['rivers-and-waterfalls', 'washing-and-laundry', 'handwork']",https://www.wikiart.org/en/eugene-boudin/laundresses-on-the-banks-of-the-touques-9,https://uploads8.wikiart.org/images/eugene-boudin/laundresses-on-the-banks-of-the-touques-9.jpg!Large.jpg,89696-laundresses-on-the-banks-of-the-touques-9.jpg,['genre painting'],,
Claude Monet,Impressionism,Impressionism,"['Naturallandscape', 'Tree', 'Bank', 'Bayou', 'Plant', 'Waterway', 'Sky']",https://www.wikiart.org/en/claude-monet/small-branch-of-the-seine-1878,https://uploads5.wikiart.org/images/claude-monet/small-branch-of-the-seine-1878.jpg!Large.jpg,93124-small-branch-of-the-seine-1878.jpg,['landscape'],,
Edgar Degas,Impressionism,Realism,['male-portraits'],https://www.wikiart.org/en/edgar-degas/leon-bonnat-1863,https://uploads8.wikiart.org/images/edgar-degas/leon-bonnat-1863.jpg!Large.jpg,65894-leon-bonnat-1863.jpg,['portrait'],,
Claude Monet,Impressionism,Impressionism,"['Town', 'Sky', 'Medievalarchitecture', 'Building', 'Village']",https://www.wikiart.org/en/claude-monet/bennecourt,https://uploads3.wikiart.org/images/claude-monet/bennecourt.jpg!Large.jpg,93448-bennecourt.jpg,['cityscape'],,
Marianne Stokes,Impressionism,Impressionism,,https://www.wikiart.org/en/marianne-stokes/on-the-waste-lands-near-kalocsa-1909,https://uploads4.wikiart.org/00266/images/marianne-stokes/hungary-1909-14781572314.jpg!Large.jpg,99131-hungary-1909-14781572314.jpg,['landscape'],,
Konstantin Korovin,Impressionism,Impressionism,['female-portraits'],https://www.wikiart.org/en/konstantin-korovin/on-the-terrace-1920,https://uploads0.wikiart.org/images/konstantin-korovin/on-the-terrace-1920.jpg!Large.jpg,102570-on-the-terrace-1920.jpg,['genre painting'],,
Pierre-Auguste Renoir,Impressionism,Impressionism,,https://www.wikiart.org/en/pierre-auguste-renoir/reclining-nude-1860,https://uploads3.wikiart.org/images/pierre-auguste-renoir/reclining-nude-1860.jpg!Large.jpg,94444-reclining-nude-1860.jpg,['nude painting (nu)'],,
Tom Roberts,Impressionism,Impressionism,['Lady'],https://www.wikiart.org/en/tom-roberts/frances-ross-1898,https://uploads0.wikiart.org/images/tom-roberts/frances-ross-1898.jpg!Large.jpg,100183-frances-ross-1898.jpg,['portrait'],,
Max Liebermann,Impressionism,Impressionism,"['boats-and-ships', 'walking']",https://www.wikiart.org/en/max-liebermann/the-yacht-race-1924,https://uploads5.wikiart.org/images/max-liebermann/the-yacht-race-1924.jpg!Large.jpg,96857-the-yacht-race-1924.jpg,['genre painting'],,
Claude Monet,Impressionism,Impressionism,"['waterlily', 'Majorelleblue', 'Flower', 'Water', 'Pond', 'Botany']",https://www.wikiart.org/en/claude-monet/water-lilies-38,https://uploads8.wikiart.org/images/claude-monet/water-lilies-38.jpg!Large.jpg,93989-water-lilies-38.jpg,['flower painting'],,
Paul Gauguin,Impressionism,Symbolism,"['forests-and-trees', 'Woodland', 'Tree', 'Naturalenvironment', 'Forest', 'Naturallandscape', 'sunlight', 'Dirtroad']",https://www.wikiart.org/en/paul-gauguin/in-the-forest-saint-cloud-ii-1873,https://uploads8.wikiart.org/images/paul-gauguin/in-the-forest-saint-cloud-ii-1873.jpg!Large.jpg,80947-in-the-forest-saint-cloud-ii-1873.jpg,['landscape'],,
Berthe Morisot,Impressionism,Impressionism,"['childrenportraits', 'Hair', 'Cheek', 'Child', '1880spaintingsfromFrance']",https://www.wikiart.org/en/berthe-morisot/jeannie-s-head-aka-tete-de-jeannie,https://uploads2.wikiart.org/images/berthe-morisot/jeannie-s-head-aka-tete-de-jeannie.jpg!Large.jpg,94305-jeannie-s-head-aka-tete-de-jeannie.jpg,['genre painting'],,
Pierre-Auguste Renoir,Impressionism,Impressionism,"['Stilllifephotography', 'Vegetarianfood']",https://www.wikiart.org/en/pierre-auguste-renoir/study-of-flowers-anemones-and-tulips-1910,https://uploads7.wikiart.org/images/pierre-auguste-renoir/study-of-flowers-anemones-and-tulips-1910.jpg!Large.jpg,95444-study-of-flowers-anemones-and-tulips-1910.jpg,['flower painting'],,
William Merritt Chase,Impressionism,Impressionism,"['fields-and-plains', 'Sky', 'Naturalenvironment', 'Naturallandscape', 'Plain']",https://www.wikiart.org/en/william-merritt-chase/sunlight-and-shadow-shinnecock-hills,https://uploads2.wikiart.org/images/william-merritt-chase/sunlight-and-shadow-shinnecock-hills.jpg!Large.jpg,97929-sunlight-and-shadow-shinnecock-hills.jpg,['landscape'],,
William Merritt Chase,Impressionism,Impressionism,"['female-portraits', 'Lady', 'Pink']",https://www.wikiart.org/en/william-merritt-chase/tired-aka-portrait-of-the-artist-s-daughter,https://uploads0.wikiart.org/images/william-merritt-chase/tired-aka-portrait-of-the-artist-s-daughter.jpg!Large.jpg,97761-tired-aka-portrait-of-the-artist-s-daughter.jpg,['portrait'],,
Telemaco Signorini,Impressionism,Realism,['1870spaintingsfromItaly'],https://www.wikiart.org/en/telemaco-signorini/sobborgo-di-porta-adriana-a-ravenna-1875,https://uploads6.wikiart.org/00239/images/telemaco-signorini/telemaco-signorini-sobborgo-di-porta-adriana-a-ravenna-1875-02.jpg!Large.jpg,66525-telemaco-signorini-sobborgo-di-porta-adriana-a-ravenna-1875-02.jpg,['cityscape'],,
Henri Matisse,Impressionism,Impressionism,,https://www.wikiart.org/en/henri-matisse/vase-of-sunflowers-1898,https://uploads8.wikiart.org/images/henri-matisse/vase-of-sunflowers-1898.jpg!Large.jpg,105181-vase-of-sunflowers-1898.jpg,['flower painting'],,
Clarence Gagnon,Impressionism,Impressionism,,https://www.wikiart.org/en/clarence-gagnon/heating-the-oven-winter-scene-1923,https://uploads3.wikiart.org/images/clarence-gagnon/heating-the-oven-winter-scene-1923.jpg!Large.jpg,107503-heating-the-oven-winter-scene-1923.jpg,['genre painting'],,
John Singer Sargent,Impressionism,Realism,"['mountains', 'Mountainouslandforms', 'Mountain', 'Naturallandscape', 'Sky', 'Hill', 'Mountainrange']",https://www.wikiart.org/en/john-singer-sargent/the-simplon,https://uploads2.wikiart.org/images/john-singer-sargent/the-simplon.jpg!Large.jpg,73457-the-simplon.jpg,['landscape'],,
Pierre-Auguste Renoir,Impressionism,Impressionism,['Tree'],https://www.wikiart.org/en/pierre-auguste-renoir/landscape-at-cagnes-1908,https://uploads8.wikiart.org/images/pierre-auguste-renoir/landscape-at-cagnes-1908.jpg!Large.jpg,95373-landscape-at-cagnes-1908.jpg,['landscape'],,
Childe Hassam,Impressionism,Impressionism,"['streets-and-squares', 'houses-and-buildings', 'roads-and-vehicles', 'rivers-and-waterfalls']",https://www.wikiart.org/en/childe-hassam/charles-river-and-beacon-hill-1892,https://uploads1.wikiart.org/images/childe-hassam/charles-river-and-beacon-hill-1892.jpg!Large.jpg,101273-charles-river-and-beacon-hill-1892.jpg,['cityscape'],,
Theodor Pallady,Impressionism,Impressionism,,https://www.wikiart.org/en/theodor-pallady/pheasant,https://uploads4.wikiart.org/images/theodor-pallady/pheasant.jpg!Large.jpg,106585-pheasant.jpg,['still life'],,
Pierre-Auguste Renoir,Impressionism,Impressionism,['Bank'],https://www.wikiart.org/en/pierre-auguste-renoir/landscape-with-orchard-1910,https://uploads2.wikiart.org/images/pierre-auguste-renoir/landscape-with-orchard-1910.jpg!Large.jpg,95429-landscape-with-orchard-1910.jpg,['landscape'],,
Claude Monet,Impressionism,Impressionism,"['Atmosphericphenomenon', 'Sky', 'Atmosphere']",https://www.wikiart.org/en/claude-monet/houses-of-parliament-at-sunset,https://uploads5.wikiart.org/images/claude-monet/houses-of-parliament-at-sunset.jpg!Large.jpg,93876-houses-of-parliament-at-sunset.jpg,['cityscape'],,
Pierre-Auguste Renoir,Impressionism,Impressionism,"['Naturallandscape', 'Bank', 'Tree', 'Bayou']",https://www.wikiart.org/en/pierre-auguste-renoir/landscape-banks-of-the-river,https://uploads3.wikiart.org/images/pierre-auguste-renoir/landscape-banks-of-the-river.jpg!Large.jpg,95700-landscape-banks-of-the-river.jpg,['landscape'],,
Theodor Pallady,Impressionism,Impressionism,"['Sketch', 'Sitting', 'Arm', 'Leg', 'Humanbody', 'Figuredrawing']",https://www.wikiart.org/en/theodor-pallady/nude-in-green-chair,https://uploads6.wikiart.org/images/theodor-pallady/nude-in-green-chair.jpg!Large.jpg,106620-nude-in-green-chair.jpg,['nude painting (nu)'],,
Tom Roberts,Impressionism,Impressionism,['Lady'],https://www.wikiart.org/en/tom-roberts/reconciliation-1887,https://uploads2.wikiart.org/images/tom-roberts/reconciliation-1887.jpg!Large.jpg,100136-reconciliation-1887.jpg,['genre painting'],,
Zinaida Serebriakova,Impressionism,Symbolism,"['fields-and-plains', 'Ecoregion']",https://www.wikiart.org/en/zinaida-serebriakova/neskuchnoye-plowing-1908,https://uploads7.wikiart.org/images/zinaida-serebriakova/neskuchnoye-plowing-1908.jpg!Large.jpg,88369-neskuchnoye-plowing-1908.jpg,['landscape'],,
JAROSLAV KELUC,Impressionism,Impressionism,"['Naturallandscape', 'Ruralarea']",https://www.wikiart.org/en/jaroslav-keluc/isolated-1966,https://uploads3.wikiart.org/00120/images/jaroslav-keluc/14-isolated.jpg,108384-14-isolated.jpg,['landscape'],,
Pierre-Auguste Renoir,Impressionism,Impressionism,['Lady'],https://www.wikiart.org/en/pierre-auguste-renoir/young-woman-standing-1895,https://uploads0.wikiart.org/images/pierre-auguste-renoir/young-woman-standing-1895.jpg!Large.jpg,95154-young-woman-standing-1895.jpg,['genre painting'],,
John Singer Sargent,Impressionism,Realism,"['animals', 'male-portraits', 'houses-and-buildings', 'oxen', 'Bovine', 'Tree']",https://www.wikiart.org/en/john-singer-sargent/oxen-resting,https://uploads3.wikiart.org/images/john-singer-sargent/oxen-resting.jpg!Large.jpg,73331-oxen-resting.jpg,['animal painting'],,
Joaquín Sorolla,Impressionism,Impressionism,"['female-portraits', 'Lady', 'Sitting']",https://www.wikiart.org/en/joaqu-n-sorolla/maria-1900,https://uploads6.wikiart.org/images/joaquin-sorolla/maria-1900.jpg!Large.jpg,103185-maria-1900.jpg,['portrait'],,
Konstantin Korovin,Impressionism,Impressionism,"['seas-and-oceans', 'Sky', 'Atmosphericphenomenon', 'Atmosphere']",https://www.wikiart.org/en/konstantin-korovin/arctic-ocean-1913,https://uploads7.wikiart.org/images/konstantin-korovin/arctic-ocean-1913.jpg!Large.jpg,102512-arctic-ocean-1913.jpg,['marina'],,
William Merritt Chase,Impressionism,Impressionism,['female-portraits'],https://www.wikiart.org/en/william-merritt-chase/portrait-of-a-young-woman,https://uploads0.wikiart.org/images/william-merritt-chase/portrait-of-a-young-woman.jpg!Large.jpg,97841-portrait-of-a-young-woman.jpg,['portrait'],,
JAROSLAV KELUC,Impressionism,Impressionism,"['Tree', 'Naturalenvironment', 'Woodyplant', 'Forest', 'Plant', 'Northernhardwoodforest', 'Woodland', 'Trunk']",https://www.wikiart.org/en/jaroslav-keluc/home-in-the-woods-1975,https://uploads4.wikiart.org/00120/images/jaroslav-keluc/28-home-in-the-woods.jpg!Large.jpg,108400-28-home-in-the-woods.jpg,['landscape'],,
Joaquín Sorolla,Impressionism,Impressionism,"['cliffs-and-rocks', 'lonelyfigures', ""Devil'sbridge"", 'Bridge']",https://www.wikiart.org/en/joaqu-n-sorolla/blind-man-of-toledo-1906,https://uploads2.wikiart.org/images/joaquin-sorolla/blind-man-of-toledo-1906.jpg!Large.jpg,103254-blind-man-of-toledo-1906.jpg,['genre painting'],,
Nathaniel Hone the Younger,Impressionism,Orientalism,,https://www.wikiart.org/en/nathaniel-hone-the-younger/rocks-and-shore,https://uploads0.wikiart.org/00316/images/nathaniel-hone-the-younger/rocks-and-shore.jpg,54569-rocks-and-shore.jpg,"['landscape', 'marina']",,
Laura Knight,Impressionism,Impressionism,['Lady'],https://www.wikiart.org/en/laura-knight/ethel-bartlett,https://uploads7.wikiart.org/images/laura-knight/ethel-bartlett.jpg!Large.jpg,107174-ethel-bartlett.jpg,['portrait'],,
Camille Pissarro,Impressionism,Impressionism,['Ruralarea'],https://www.wikiart.org/en/camille-pissarro/cottages-at-auvers-near-pontoise-1879,https://uploads7.wikiart.org/images/camille-pissarro/cottages-at-auvers-near-pontoise-1879.jpg!Large.jpg,90177-cottages-at-auvers-near-pontoise-1879.jpg,['landscape'],,
Claude Monet,Impressionism,Impressionism,"['Cliff', 'Rock', 'Sea']",https://www.wikiart.org/en/claude-monet/the-manneport-reflections-of-water,https://uploads0.wikiart.org/images/claude-monet/the-manneport-reflections-of-water.jpg!Large.jpg,93479-the-manneport-reflections-of-water.jpg,['landscape'],,
Emil Carlsen,Impressionism,Impressionism,,https://www.wikiart.org/en/emil-carlsen/venice-1909,https://uploads3.wikiart.org/images/emil-carlsen/venice-1909.jpg,98946-venice-1909.jpg,['cityscape'],,
Edmund Charles Tarbell,Impressionism,Impressionism,"['female-portraits', 'Hair', 'Face', 'Chin', 'Neck', 'Ear', 'Jaw', 'Cheek', 'Forehead', 'Head', 'Nose']",https://www.wikiart.org/en/edmund-charles-tarbell/profile-1900,https://uploads6.wikiart.org/images/edmund-charles-tarbell/profile-1900.jpg!Large.jpg,102899-profile-1900.jpg,['portrait'],,
Lilla Cabot Perry,Impressionism,Impressionism,"['Flower', 'Leaf', 'Plant']",https://www.wikiart.org/en/lilla-cabot-perry/lotus-flowers-oya-japan-1900,https://uploads8.wikiart.org/images/lilla-cabot-perry/lotus-flowers-oya-japan-1900.jpg!Large.jpg,97036-lotus-flowers-oya-japan-1900.jpg,['flower painting'],,
Frederic Remington,Impressionism,Tonalism,"['Boat', 'Vehicle', 'Canoe', 'Watercraftrowing', 'Watercraft']",https://www.wikiart.org/en/frederic-remington/radisson-and-groseilliers-1905,https://uploads2.wikiart.org/images/frederic-remington/radisson-and-groseilliers-1905.jpg!Large.jpg,110065-radisson-and-groseilliers-1905.jpg,['genre painting'],,
Claude Monet,Impressionism,Impressionism,"['Nature', 'Naturallandscape', 'Tree', 'Leaf', 'Bank']",https://www.wikiart.org/en/claude-monet/banks-of-the-seine-at-jeufosse-autumn,https://uploads3.wikiart.org/images/claude-monet/banks-of-the-seine-at-jeufosse-autumn.jpg!Large.jpg,93401-banks-of-the-seine-at-jeufosse-autumn.jpg,['landscape'],,
Camille Pissarro,Impressionism,Impressionism,['Tree'],https://www.wikiart.org/en/camille-pissarro/white-frost-at-eragny-1895,https://uploads5.wikiart.org/images/camille-pissarro/white-frost-at-eragny-1895.jpg!Large.jpg,90487-white-frost-at-eragny-1895.jpg,['landscape'],,
T. C. Steele,Impressionism,Impressionism,"['animals', 'rivers-and-waterfalls', 'cows', 'forests-and-trees', 'Naturallandscape', 'Nature', 'Pasture', 'Bank', 'Naturalenvironment', 'Wilderness', 'Grazing', 'autumn']",https://www.wikiart.org/en/t-c-steele/tennessee-scene-1899,https://uploads2.wikiart.org/images/t-c-steele/tennessee-scene-1899.jpg!Large.jpg,96932-tennessee-scene-1899.jpg,['landscape'],,
Alfred Sisley,Impressionism,Impressionism,"['houses-and-buildings', 'rivers-and-waterfalls', 'Waterway', 'Bank', 'River', 'Boat', 'Water', 'Watertransportation', 'Canal', 'Vehicle']",https://www.wikiart.org/en/alfred-sisley/banks-of-the-loing-at-saint-mammes-1885-1,https://uploads8.wikiart.org/images/alfred-sisley/banks-of-the-loing-at-saint-mammes-1885-1.jpg!Large.jpg,92448-banks-of-the-loing-at-saint-mammes-1885-1.jpg,['landscape'],,
Karoly Ferenczy,Impressionism,Impressionism,['Workinganimal'],https://www.wikiart.org/en/karoly-ferenczy/winter-1902,https://uploads6.wikiart.org/images/karoly-ferenczy/winter-1902.jpg,102703-winter-1902.jpg,['genre painting'],,
Claude Monet,Impressionism,Impressionism,"['Boat', 'Sailboat', 'Sail', 'Vehicle', 'Tree', 'Bank', 'Bayou', 'Watercraft']",https://www.wikiart.org/en/claude-monet/small-boat-on-the-small-branch-of-the-seine-at-argenteuil,https://uploads5.wikiart.org/images/claude-monet/small-boat-on-the-small-branch-of-the-seine-at-argenteuil.jpg!Large.jpg,92920-small-boat-on-the-small-branch-of-the-seine-at-argenteuil.jpg,['landscape'],,
Konstantin Yuon,Impressionism,Symbolism,"['castles-and-fortresses', 'gardens-and-parks', 'Moscow', 'USSR', 'Tree', 'Naturallandscape', 'Northernhardwoodforest', 'Woodyplant', 'Woodland', 'Plant', 'Forest']",https://www.wikiart.org/en/konstantin-yuon/alexander-s-garden-near-the-kremlin-1924,https://uploads8.wikiart.org/images/konstantin-yuon/alexander-s-garden-near-the-kremlin-1924.jpg,87051-alexander-s-garden-near-the-kremlin-1924.jpg,['landscape'],,
Lovis Corinth,Impressionism,Impressionism,,https://www.wikiart.org/en/lovis-corinth/large-still-life-with-figure-1911,https://uploads8.wikiart.org/images/lovis-corinth/large-still-life-with-figure-1911.jpg,100811-large-still-life-with-figure-1911.jpg,['still life'],,
Edward Henry Potthast,Impressionism,Impressionism,"['summer', 'Fun']",https://www.wikiart.org/en/edward-henry-potthast/long-beach-1921,https://uploads3.wikiart.org/00260/images/edward-henry-potthast/potthast-longbeach.jpg,100356-potthast-longbeach.jpg,['genre painting'],,
Camille Pissarro,Impressionism,Impressionism,['1880spaintingsfromFrance'],https://www.wikiart.org/en/camille-pissarro/young-woman-washing-plates-1882,https://uploads1.wikiart.org/images/camille-pissarro/young-woman-washing-plates-1882.jpg!Large.jpg,90250-young-woman-washing-plates-1882.jpg,['genre painting'],,
Stefan Luchian,Impressionism,Impressionism,"['Flower', 'Bouquet', 'Stilllifephotography', 'Plant', 'Floraldesign', 'Chrysanths', 'Cutflowers']",https://www.wikiart.org/en/stefan-luchian/peonies,https://uploads1.wikiart.org/images/stefan-luchian/peonies.jpg,104802-peonies.jpg,['still life'],,
Eugene Boudin,Impressionism,Impressionism,"['Sky', 'Cloud', 'Atmosphere', 'Horizon']",https://www.wikiart.org/en/eugene-boudin/clouds,https://uploads0.wikiart.org/images/eugene-boudin/clouds.jpg!Large.jpg,89684-clouds.jpg,['cloudscape'],,
Konstantin Korovin,Impressionism,Impressionism,"['streets-and-squares', 'houses-and-buildings', 'Paris']",https://www.wikiart.org/en/konstantin-korovin/paris-at-night-1911,https://uploads0.wikiart.org/images/konstantin-korovin/paris-at-night-1911.jpg!Large.jpg,102483-paris-at-night-1911.jpg,['cityscape'],,
Camille Pissarro,Impressionism,Impressionism,"['boats-and-ships', 'moles-and-embankments', 'Normandy']",https://www.wikiart.org/en/camille-pissarro/the-inner-harbor-dieppe-afternoon-sun-low-tide-1902,https://uploads3.wikiart.org/images/camille-pissarro/the-inner-harbor-dieppe-afternoon-sun-low-tide-1902.jpg!Large.jpg,90688-the-inner-harbor-dieppe-afternoon-sun-low-tide-1902.jpg,['cityscape'],,
Alfred Sisley,Impressionism,Impressionism,['houses-and-buildings'],https://www.wikiart.org/en/alfred-sisley/the-moret-bridge-1892,https://uploads6.wikiart.org/images/alfred-sisley/the-moret-bridge-1892.jpg!Large.jpg,92575-the-moret-bridge-1892.jpg,['cityscape'],,
Childe Hassam,Impressionism,Impressionism,"['streets-and-squares', 'roads-and-vehicles', 'Rein', 'Horse', 'Coachman', 'Cowboy', 'Packanimal']",https://www.wikiart.org/en/childe-hassam/carriage-rue-bonaparte,https://uploads7.wikiart.org/images/childe-hassam/carriage-rue-bonaparte.jpg!Large.jpg,101175-carriage-rue-bonaparte.jpg,['genre painting'],,
